Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
x Clifton St (RDP),Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Clifton St, Boston, MA 02119, USA"
x Coffey St,Dorchester,02122,46,46,0,43.0,43.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Coleman St (1-4 Program),Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"1 Coleman St, Boston, MA 02125, USA"
x Coleman St (REO),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"Coleman St, Boston, MA 02125, USA"
x Coleman Street,Dorchester,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Colonial Avenue E+,Dorchester,02124,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,"Colonial Ave, Boston, MA 02124, USA"
x Columbus Ave,Roxbury,02119,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"Boston, MA 02120, United States"
x Columbus Ave Conversion,South end,02116,62,0,62,54.0,0.0,54.0,8,0,8.0,Ownership,Private,,,"285 Columbus Ave, Boston, MA 02116, United States"
x Columbus Avenue,Roxbury,02119,165,165,0,0.0,0.0,0.0,165,165,0.0,Rental,Public,Y,,"Boston, MA 02120, United States"
x Commercial St,North End,02109,20,0,20,18.0,0.0,18.0,2,0,2.0,Ownership ,Private,,,"386 Commercial Street, Boston, MA 02109, United States"
x Commonwealth Ave,Brighton,02135,80,80,0,70.0,70.0,0.0,10,10,0.0,Rental,Private,,,"2000 Commonwealth Ave, Brighton, MA 02135, United States"
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),Allston,02134,179,179,0,155.0,155.0,0.0,24,24,0.0,Rental,Private,,,"575 Commonwealth Ave, Boston, MA 02215, United States"
x Commonwealth Avenue,Allston,02134,61,61,0,1.0,1.0,0.0,60,60,0.0,Rental,Private,,,"1144-1160 Commonwealth Ave, Boston, MA 02134, United States"
x Congress Street,South Boston Waterfront,02127,44,44,0,40.0,40.0,0.0,4,4,0.0,Rental,Private,,,"330 Congress St, Boston, MA 02210, United States"
x Corman Road Mattapan - COB,Mattapan,02126,2,1,1,1.0,0.0,1.0,1,0,1.0,Ownership,Private,,,"Corman Rd, Boston, MA 02126, USA"
x Cranston St,Jamaica Plain,02130,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"201 S Huntington Ave, Boston, MA 02130, United States"
x Crawford Street SRO,Roxbury,02121,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,"86 Crawford St, Dorchester, MA 02121, United States"
x Cummins Highway,Mattapan,02126,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,,"627 Cummins Hwy, Mattapan, MA 02126, United States"
x D St,South Boston,02127,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"320 D St, Boston, MA 02127, United States"
x D Street,South Boston Waterfront,02127,197,197,0,171.0,171.0,0.0,26,26,0.0,Rental,Private,,,"320 D St, Boston, MA 02127, United States"
x Dacia Street,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"16 Dacia St, Dorchester, MA 02125, United States"
x Dale Street Condominium,Roxbury,02119,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Devon Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Dorchester Av,Dorchester,02124,64,0,64,56.0,56.0,0.0,8,8,0.0,Rental,Private,,,"2235 Dorchester Ave, Boston, MA 02124, United States"
x Dorchester Ave,Dorchester,02125,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Dorchester Ave. (SPO),Dorchester,02122,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,,,"1420 Dorchester Ave, Dorchester, MA 02122, United States"
x Dorchester Avenue,South Boston,02127,33,0,33,29.0,0.0,29.0,4,0,4.0,Ownership,Private,,,"141 Dorchester Ave, Boston, MA 02127, United States"
x Dorchester St,South Boston,02127,35,35,0,29.0,29.0,0.0,6,6,0.0,Rental,Private,,,"39 Dorchester St, South Boston, MA 02127, United States"
x Dorchester St.,South Boston,02127,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"39 Dorchester St, South Boston, MA 02127, United States"
x Draper St (BuildHOME),Dorchester,02122,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"Draper St, Boston, MA 02122, USA"
x Dudley St (REO),Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"778 Dudley St, Dorchester, MA 02125, United States"
x Dudley Street,Roxbury,02119,68,68,0,0.0,0.0,0.0,68,68,0.0,Rental,Private,,,"550 Dudley St, Roxbury, MA 02119, United States"
x Dunlap Street,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Dunreath St (RDP),Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"Dunreath St, Boston, MA 02119, USA"
x E Eagle Street (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"55 E Eagle St, East Boston, MA 02128, United States"
x E Fifth Street,South Boston,02127,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,"330 Congress St, Boston, MA 02210, United States"
x E Second St,South Boston,02127,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"850 Summer St Suite 207, Boston, MA 02127, United States"
x E Third St,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"330 Congress St, Boston, MA 02210, United States"
x East Broadway,South Boston,02127,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"726 E Broadway, Boston, MA 02127, United States"
x East Brookline,South End,02118,6,0,6,5.0,0.0,5.0,1,0,1.0,Ownership,Private,,,"99 Brookline Ave, Boston, MA 02215, United States"
x East First,South Boston,02127,28,0,28,24.0,0.0,24.0,4,0,4.0,Ownership,Private,,,"330 Congress St, Boston, MA 02210, United States"
x East Second,South Boston,02127,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,"850 Summer St Suite 207, Boston, MA 02127, United States"
x East Second Street,South Boston,02127,13,12,1,12.0,0.0,12.0,1,0,1.0,Ownership/Rental,Private,,,"516 E 2nd St, Boston, MA 02127, United States"
x East Springfield St,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,Y,"Boston, MA 02118, United States"
x East Third St,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"850 Summer St Suite 207, Boston, MA 02127, United States"
x Elizabeth St,Mattapan,02126,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"1480 Blue Hill Avenue, Boston, MA 02126, United States"
x Ellington St,Dorchester,02121,6,6,0,0.0,0.0,0.0,6,6,0.0,Cooperative,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Elwyn Road (REO),Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Elwyn Rd, Boston, MA 02124, USA"
x Esmond Street,Dorchester,02121,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Eustis Street,Roxbury,02119,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"33 Shirley St, Boston, MA 02119, United States"
x Eutaw St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Eutaw St, Boston, MA 02128, USA"
x Evans Street: Perry,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"37 Evans St, Dorchester, MA 02124, United States"
x Everett St,East Boston,02128,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,"174 Paris St, East Boston, MA 02128, United States"
x Fairland St (Lee VUP),Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
x Fairmount Ave,Hyde Park,02136,10,0,10,9.0,0.0,9.0,1,0,1.0,Ownership,Private,,,"150 Fairmount Ave, Hyde Park, MA 02136, United States"
x Falcon St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Falcon St, Boston, MA 02128, USA"
x Fisher Ave,Mission Hill,02120,15,15,0,13.0,13.0,0.0,2,2,0.0,Rental,Private,,,"120 Fisher Ave, Boston, MA 02120, United States"
x Fort Avenue,Roxbury,02119,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,"22-98 Fort Ave, Boston, MA 02119, United States"
x Fottler (REMS Land),Mattapan,02126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Fottler Rd, Boston, MA 02126, USA"
x Gaston (RDP),Roxbury,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
x Gladstone St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Gladstone St, Boston, MA 02128, USA"
x Glendon St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Glendon St, Boston, MA 02128, USA"
x Glenway St,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Glenway Street,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Glenway Street (1-4),Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Gordon Avenue,Hyde Park,02136,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"11 Gordon Ave, Hyde Park, MA 02136, United States"
x Green Street,Jamaica Plain,02130,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,"3160 Washington St, Boston, MA 02130, United States"
x Greenbrier St (BuildHome),Dorchester,02124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"Greenbrier St, Boston, MA 02124, USA"
x Greenwich Park*,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"Greenwich Park, Boston, MA 02118, USA"
x H Street,South Boston,02127,11,0,11,10.0,0.0,10.0,1,0,1.0,Ownership,Private,,,"120 H St, Boston, MA 02127, United States"
x Hancock,Dorchester,02125,36,36,0,15.0,15.0,0.0,21,21,0.0,Rental,Private,,,"40 Hancock St, Dorchester, MA 02125, United States"
x Hanover St,North End,02113,16,16,0,15.0,15.0,0.0,1,1,0.0,Rental,Private,,,"332 Hanover St, Boston, MA 02113, United States"
x Harold Street,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"208 Harold St, Boston, MA 02121, United States"
x Harrison Ave,South End,02118,585,585,0,527.0,527.0,0.0,58,58,0.0,Rental,Private,,,"345 Harrison Ave, Boston, MA 02118, United States"
x Harrison Ave Condos,South End,02118,39,0,39,36.0,0.0,36.0,3,0,3.0,Ownership,Private,,,"700 Harrison Ave, Boston, MA 02118, United States"
x Harrison Avenue,South End,02118,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership/Rental,Private,,,"345 Harrison Ave, Boston, MA 02118, United States"
x Harvard Street,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"301 Harvard St, Boston, MA 02124, United States"
x Hawthorne Pl,West End,02114,480,0,480,479.0,0.0,479.0,1,0,1.0,Ownership/Rental,Private,,,"2 Hawthorne Pl, Boston, MA 02114, United States"
x Hawthorne Street,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Hemenway,Fenway,02115,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,"768 Huntington Ave, Boston, MA 02115, United States"
x Hemenway Coop,Fenway,02115,24,24,0,11.0,11.0,0.0,13,13,0.0,Cooperative,Private,,,"Hemenway St, Boston, MA 02115, USA"
x Hendry St (REO),Dorchester,02122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"Hendry St, Boston, MA 02122, USA"
x Hichborn St,Brighton,02135,23,0,23,20.0,0.0,20.0,3,3,0.0,Rental,Private,,,"26 Hichborn St, Brighton, MA 02135, United States"
x Highland St E+,Roxbury,02119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,"Highland St, Boston, MA 02119, USA"
x Highland Street,Roxbury,02119,5,0,5,4.0,0.0,4.0,1,0,1.0,Ownership,Private,,,"1 Highland St, Roxbury, MA 02119, United States"
x Holborn Terrace,Roxbury,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Hollander Street,Roxbury,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"55 Hollander St, Roxbury, MA 02119, United States"
x Homes Ave Development,Dorchester,02122,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Homes Ave, Boston, MA 02122, USA"
x Hosmer St (Lee VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
x House (SPO),Dorchester,02122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
x Howard Ave,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"185 Howard Ave, Dorchester, MA 02125, United States"
x Huckins St,Roxbury,02119,4,4,0,0.0,0.0,0.0,4,4,0.0,Cooperative,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Hudson St (AOP),Chinatown,02111,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"66 Hudson St, Boston, MA 02111, United States"
x Humboldt Avenue,Roxbury,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"198 Humboldt Ave, Dorchester, MA 02121, United States"
x Humboldt Avenue-202,Roxbury,02121,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,?,,"202 Humboldt Ave, Boston, MA 02121, United States"
x Humphreys Place (AOP),Dorchester,02125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Humphreys Pl, Boston, MA 02125, USA"
x Huntington Avenue,Mission Hill,02120,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,,"201 S Huntington Ave, Boston, MA 02130, United States"
x Hutchings Street,Roxbury,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"17 Blakeville St, Dorchester, MA 02121, United States"
x Hyde Park Ave,Roslindale,02131,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,"1074 Hyde Park Ave, Hyde Park, MA 02136, United States"
x Hyde Park Avenue,Roslindale,02136,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"1074 Hyde Park Ave, Hyde Park, MA 02136, United States"
x Intervale St (RDP),Roxbury,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Intervale St, Boston, MA 02121, USA"
x Itasca Street,Mattapan,02126,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"1624 Blue Hill Avenue, Mattapan, MA 02126, United States"
x Juniper Street,Roxbury,02119,4,3,1,1.0,1.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Kingsdale St,Dorchester,02124,3,1,2,1.0,0.0,1.0,2,1,1.0,Ownership/Rental,Private,,,"71 Kingsdale St, Dorchester Center, MA 02124, United States"
x L Street,South Boston,02127,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,"77 L St, Boston, MA 02127, United States"
x Landor Road,Mattapan,02126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"1480 Blue Hill Avenue, Boston, MA 02126, United States"
x Lawnwood Place Project,Charlestown,02129,9,0,9,5.0,0.0,5.0,4,0,4.0,Ownership,Private,,,"One Boston Place, #2600, Boston, MA 02108, United States"
x Lawrence Avenue,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Leighton Rd Foreclosed Home Sale,Hyde Park,02136,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Leighton Rd, Boston, MA 02136, USA"
x Leroy St (AOP),Dorchester,02122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Leroy St, Boston, MA 02122, USA"
x Levant St,Dorchester,02122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Lexington Ave (AOP),Hyde Park,02136,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"727 Marrett Rd A, Lexington, MA 02421, United States"
x Lexington St (1-4 Program),East Boston,02128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"1 Lexington St, Boston, MA 02128, USA"
x Lexington/92-94 Putnam (1-4),East Boston,02128,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,
x Leyden St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Leyden St, Boston, MA 02128, USA"
x Lorne Street,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"1 Lorne St, Boston, MA 02124, United States"
x Magnolia St,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"206 Magnolia St, Boston, MA 02121, United States"
x Magnolia St (RDP),Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Magnolia St, Boston, MA 02125, USA"
x Mallon Road,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Malvern St,Allston,02134,48,48,0,42.0,42.0,0.0,6,6,0.0,Rental,Private,,,"40 Malvern St, Boston, MA 02134, United States"
x Manor St (RDP),Dorchester,02122,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Manor St, Boston, MA 02122, USA"
x Marion Place,East Boston,02128,1,0,1,0.0,0.0,0.0,1,1,0.0,Ownership,Private,,,"174 Paris St, East Boston, MA 02128, United States"
x Marion St,East Boston,02128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"127 Marion St, Boston, MA 02128, United States"
x Market St,Brighton,02135,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,"195 Market St, Brighton, MA 02135, United States"
x Market Street,Brighton,02135,39,39,0,34.0,34.0,0.0,5,5,0.0,Rental,Private,,,"356-358 Market St, Boston, MA 02135, United States"
x Mass. Ave. (BCLT),Roxbury,02118,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,"666 Massachusetts Ave, Boston, MA 02118, United States"
x Massachusetts Ave,Dorchester,02125,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,,"1258 Massachusetts Ave, Dorchester, MA 02125, United States"
x Massachusetts Avenue,South End,02118,10,0,10,8.0,0.0,8.0,2,0,2.0,Ownership,Private,,,"811 Massachusetts Ave, Boston, MA 02118, United States"
x Maverick St,East Boston,02128,37,0,37,32.0,0.0,32.0,5,0,5.0,Ownership,Private,,,"202 Maverick St, Boston, MA 02128, United States"
x Maverick St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"154 Maverick St, Boston, MA 02128, United States"
x Maywood Street,Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"131 Dale St, Boston, MA 02119, United States"
x McBride St,Jamaica Plain,02130,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,"141 McBride St, Jamaica Plain, MA 02130, United States"
x Medford St,Charlestown,02129,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"305 Medford St, Boston, MA 02129, United States"
x Metropolitan Ave,Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"680 Metropolitan Ave, Hyde Park, MA 02136, United States"
x Milton Street,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"637 Washington St, Boston, MA 02124, United States"
x Minden St,Jamaica Plain,02130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"91 Minden St, Jamaica Plain, MA 02130, United States"
x Minden Street,Jamaica Plain,02130,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"91 Minden St, Jamaica Plain, MA 02130, United States"
x Miner Street,Fenway,02215,49,49,0,43.0,43.0,0.0,6,6,0.0,Rental,Private,,,"9 Miner St, Boston, MA 02215, United States"
x Monsignor Way,Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Msgr Patrick J Lydon Way, Boston, MA 02124, USA"
x Morris Street (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Morris St, Boston, MA 02128, USA"
x Morse Street,Dorchester,02121,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Mount Everett NHI,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x Mountfort St,Fenway,02215,37,37,0,33.0,33.0,0.0,4,4,0.0,Rental,Private,,,"120 Mountfort St, Boston, MA 02215, United States"
x Mt. Pleasant Ave SRO,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
x Mt. Pleasant Avenue,Roxbury,02119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
x Murray Ave,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"must call for appointment, 39 Smith St, Boston, MA 02120, United States"
x Murray Ave (1-4),Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"4 Murray Ave #1, Boston, MA 02119, USA"
x N Beacon,Allston,02134,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,"15 N Beacon St, Allston, MA 02134, United States"
x N Beacon St (Condo Phase),Brighton,02135,9,0,9,8.0,0.0,8.0,1,0,1.0,Ownership,Private,,,"15 N Beacon St, Boston, MA 02134, United States"
x N Beacon St (Rental Phase),Allston,02134,72,72,0,63.0,63.0,0.0,9,9,0.0,Rental,Private,,,"15 N Beacon St, Allston, MA 02134, United States"
x N Beacon St Mixed Use Development,Allston,02134,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,"N Beacon St, Boston, MA 02134, USA"
x Nelson Street,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Neponset Ave,Dorchester,02122,22,22,0,19.0,19.0,0.0,3,3,0.0,Rental,Private,,,"320 Neponset Ave, Dorchester, MA 02122, United States"
x Newbury - Virgin Records,Back Bay,02115,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,"Newbury St, Boston, MA 02115, USA"
x Nightingale Street,Dorchester,02124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"101 Nightingale St, Boston, MA 02124, United States"
x Norfolk Street (RDP),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x North Ave/YouthBuild,Roxbury,02119,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"27 Centre St, Boston, MA 02119, United States"
x Northampton Apts,Roxbury,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"35 Northampton St, Boston, MA 02118, United States"
x Norwell St - YouthBuild,Dorchester,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
x Norwell Street (REO/Private Acquisition),Dorchester,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Norwell St, Boston, MA 02121, USA"
x Oak Street (AOP),Chinatown,02111,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"Oak St, Boston, MA 02111, USA"
x Old Colony,South Boston,02127,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,,"232 Old Colony Ave, Boston, MA 02127, United States"
x Old Colony Ave,South Boston,02127,49,49,0,41.0,41.0,0.0,8,8,0.0,Rental,Private,,,"232 Old Colony Ave, Boston, MA 02127, United States"
x Orleans Street,East Boston,02128,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,"150 Orleans St, Boston, MA 02128, United States"
x Otisfield St (BuildHome),Roxbury,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Otisfield St, Boston, MA 02121, USA"
x Page St (James VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Page St, Boston, MA 02121, USA"
x Park Drive,Fenway,02215,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,"231-235 Park Dr, Boston, MA 02215, United States"
x Park St,Dorchester,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"150 M.L.K. Jr Blvd, Boston, MA 02119, United States"
x Park St Lodging House,Dorchester,02122,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,"1564 Dorchester Ave, Dorchester, MA 02122, United States"
x Park St/YouthBuild,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"27 Centre St, Boston, MA 02119, United States"
x Parker Hill Ave,Mission Hill,02120,40,40,0,34.0,34.0,0.0,6,6,0.0,Rental,Private,,,"11 Parker Hill Ave, Boston, MA 02120, United States"
x Peacevale Rd,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"9 Peacevale Rd, Boston, MA 02124, United States"
x Peterborough,Fenway,02215,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,"109 Peterborough St, Boston, MA 02215, United States"
x Peterborough Street,Fenway,02215,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,"109 Peterborough St, Boston, MA 02215, United States"
x Pier 4,South Boston Waterfront,02110,369,369,0,337.0,337.0,0.0,32,32,0.0,Rental,Private,,,"100 Pier 4 Blvd. #2218, Boston, MA 02210, United States"
x Pleasant St,Dorchester,02125,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,,"54 Pleasant St, Boston, MA 02125, United States"
x Prescott Street,East Boston,02128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"240 Prescott St, Boston, MA 02128, United States"
