Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"231 Geneva Ave, Boston, MA 02121, United States"
Bowen (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"22 Boston Wharf Rd, Boston, MA 02210, United States"
Boylston St Mixed Use,Back Bay,02116,85,85,0,75.0,75.0,0.0,10,10,0.0,Rental,Private,,,"501 Boylston St, Boston, MA 02116, United States"
Boylston West (Fenway Triangle Mixed Use),Fenway,02215,172,172,0,159.0,159.0,0.0,13,13,0.0,Rental,Private,,,"180 Brookline Ave, Boston, MA 02215, United States"
Bradford Estates,Dorchester,02124,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,,
Bradlee-Fowler,Dorchester,02124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,,
Bradley Properties,South End,02118,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y,"340 Shawmut Ave, Boston, MA 02118, United States"
Brandywyne Village,East Boston,02128,402,402,0,136.0,136.0,0.0,266,266,0.0,Rental,Private,,Y,"88 Brandywyne Dr, East Boston, MA 02128, United States"
Brantley (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Braxton (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Brewery Lofts,Mission Hill,02130,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,,"251 Heath St, Jamaica Plain, MA 02130, United States"
BRIAN J HONAN APARTMENTS,Allston,02134,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,"57 Everett St N, Allston, MA 02134, United States"
Brighton Gardens,Brighton,02135,62,62,0,49.0,49.0,0.0,13,13,0.0,Rental,Private,Y,,"Brighton Ave, Boston, MA, USA"
Brighton-Allston Apts,Allston,02134,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,,"57 Everett St N, Allston, MA 02134, United States"
Brighton-Allston Elderly,Brighton,02134,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,Y,"677 Cambridge St, Brighton, MA 02135, United States"
"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0.0,0.0,0.0,779,779,0.0,Rental,Public,Y,,
Brook Avenue Cooperative,Roxbury,02119,36,36,0,0.0,0.0,0.0,36,36,0.0,Cooperative,Private,,,"147 Moreland St, Roxbury, MA 02119, United States"
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,,
Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,,"Brookside Ave, Boston, MA 02130, USA"
Brookview House,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brookview House II,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brookview House III,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"2 Brookview St #1, Dorchester Center, MA 02124, United States"
Brown (VUP),Dorchester,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Brown-Kaplan Townhomes,Dorchester,02124,60,60,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Brownstone Apartments,South End,02118,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y,"163 W Springfield St # A, Boston, MA 02118, United States"
Brunswick Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Brunswick St, Boston, MA 02121, USA"
Brush Hill Commons,Jamaica Plain,02130,14,0,14,8.0,0.0,8.0,6,0,6.0,Ownership,Private,,,"2130 Brush Hill Rd, Milton, MA 02186, USA"
Buckminster Hotel,Fenway,02215,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"645 Beacon St, Boston, MA 02215, United States"
Buildable Lots - Codman Square,Dorchester,-0010,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,,"587 Washington St, Dorchester Center, MA 02124, United States"
Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,,"2273 Dorchester Ave, Boston, MA 02124, United States"
Buildable Lots - Uphams,Dorchester,-0010,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,"500 Columbia Rd, Dorchester, MA 02125, United States"
Buildable Lots- 1&2,Dorchester,02124,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,,
Buildable Lots- 3&4,Dorchester,-0010,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,,"9820 62nd Dr, Flushing, NY 11374, United States"
Buildable Lots- 5,Dorchester,02124,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,,"450 Washington St, Boston, MA 02124, United States"
Buildable Lots- 6,Mattapan,02126,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,"981 Morton St, Boston, MA 02126, United States"
Building 104,Charlestown,02129,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,"570 Rutherford Ave, Charlestown, MA 02129, United States"
Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41.0,41.0,0.0,6,6,0.0,Rental,Private,,,"33 3rd Ave, Boston, MA 02129, United States"
Burbank Gardens,Fenway,02115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y,"Burbank St, Boston, MA 02115, USA"
Burton Apts (18u),Roxbury,02120,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,Y,"1575 Tremont St #1107, Boston, MA 02120, United States"
Burton-Dudley,Roxbury,02119,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,"Burton Ave, Boston, MA 02119, USA"
Call Carolina Homes,Jamaica Plain,02130,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,"619 Centre St, Jamaica Plain, MA 02130, United States"
Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"Callender St, Boston, MA 02124, USA"
Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,
Camden Street (200-2),Roxbury,02118,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Public,,,"200 Camden St, Boston, MA 02118, USA"
Camfield Gardens,Roxbury,02118,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,Y,"The Paulette K Ford Community Center 85 Lenox Street Paulette, Ford Way, Boston, MA 02118, United States"
Capen Green,Dorchester,02124,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,"Capen St, Boston, MA 02124, USA"
Cardella (VUP),South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
