FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,VTD,VTDI,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Voting District,Voting District Indicator,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
PLST,MA,710,7100000US2502500100707000,2.50E+15,1,1,25,25,7000,1007,A,2843,389,725,1461,154,0,2,27,85,2203,363,527,1095,142,0,2,16,58
PLST,MA,710,7100000US2502500100807000,2.50E+15,1,1,25,25,7000,1008,A,3329,1554,405,442,793,2,0,15,118,3096,1457,381,396,742,2,0,10,108
PLST,MA,710,7100000US2502500100907000,2.50E+15,1,1,25,25,7000,1009,A,2900,1586,259,588,313,2,3,17,132,2579,1477,207,498,282,1,0,12,102
PLST,MA,710,7100000US2502500110107000,2.50E+15,1,1,25,25,7000,1101,A,1501,561,457,265,105,2,0,13,98,1299,514,383,221,97,0,0,12,72
PLST,MA,710,7100000US2502500110207000,2.50E+15,1,1,25,25,7000,1102,A,2476,389,1067,776,84,10,0,11,139,1959,326,859,566,74,8,0,10,116
PLST,MA,710,7100000US2502500110307000,2.50E+15,1,1,25,25,7000,1103,A,1979,146,933,740,51,2,0,17,90,1548,138,742,537,47,2,0,11,71
PLST,MA,710,7100000US2502500110407000,2.50E+15,1,1,25,25,7000,1104,A,3311,823,792,1351,153,11,2,30,149,2686,742,644,1020,139,11,2,25,103
PLST,MA,710,7100000US2502500110507000,2.50E+15,1,1,25,25,7000,1105,A,2732,715,649,1112,113,4,1,18,120,2184,622,516,846,103,2,0,18,77
PLST,MA,710,7100000US2502500110607000,2.50E+15,1,1,25,25,7000,1106,A,1594,757,163,485,84,0,0,26,79,1374,689,140,384,82,0,0,26,53
PLST,MA,710,7100000US2502500110707000,2.50E+15,1,1,25,25,7000,1107,A,2307,1064,379,609,105,9,0,14,127,1899,924,316,455,99,7,0,11,87
